EMC,Location,Analyte,Flow,Run
0.04500000178813934,-1693589722_FL,Phosphorus,Outflow,30
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,30
0.06499999761581421,-1693589722_FL,Phosphorus,Outflow,30
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,30
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,30
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,30
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,30
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,30
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,30
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,30
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,30
0.125,-1693589722_FL,Phosphorus,Outflow,30
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,30
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,31
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,31
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,31
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,31
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,31
0.125,-1693589722_FL,Phosphorus,Outflow,31
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,31
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,31
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,31
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,31
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,31
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,31
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,31
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,31
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,31
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,32
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,32
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,32
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,32
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,32
0.1474799960851669,-1693589722_FL,Phosphorus,Outflow,32
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,32
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,32
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,32
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,32
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,32
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,32
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,32
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,32
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,32
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,33
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,33
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,33
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,33
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,33
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,33
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,33
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,33
0.02400000020861626,-1693589722_FL,Phosphorus,Outflow,33
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,33
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,33
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,33
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,33
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,33
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,33
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,34
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,34
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,34
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,34
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,34
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,34
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,34
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,34
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,34
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,34
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,34
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,34
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,34
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,34
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,34
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,35
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,35
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,35
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,35
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,35
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,35
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,35
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,35
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,35
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,35
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,35
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,35
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,35
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,35
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,35
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,36
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,36
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,36
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,36
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,36
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,36
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,36
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,36
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,36
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,36
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,36
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,36
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,36
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,36
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,36
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,37
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,37
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,37
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,37
0.01099999994039536,-1693589722_FL,Phosphorus,Outflow,37
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,37
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,37
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,37
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,37
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,37
0.02400000020861626,-1693589722_FL,Phosphorus,Outflow,37
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,37
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,37
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,37
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,37
0.125,-1693589722_FL,Phosphorus,Outflow,38
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,38
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,38
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,38
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,38
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,38
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,38
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,38
0.003000000026077032,-1693589722_FL,Phosphorus,Outflow,38
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,38
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,38
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,38
0.1474799960851669,-1693589722_FL,Phosphorus,Outflow,38
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,38
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,38
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,39
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,39
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,39
0.02500000037252903,-1693589722_FL,Phosphorus,Outflow,39
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,39
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,39
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,39
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,39
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,39
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,39
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,39
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,39
0.07100000232458115,-1693589722_FL,Phosphorus,Outflow,39
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,39
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,39
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,40
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,40
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,40
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,40
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,40
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,40
0.05200000107288361,-1693589722_FL,Phosphorus,Outflow,40
0.07699999958276749,-1693589722_FL,Phosphorus,Outflow,40
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,40
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,40
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,40
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,40
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,40
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,40
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,40
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,41
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,41
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,41
0.06499999761581421,-1693589722_FL,Phosphorus,Outflow,41
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,41
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,41
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,41
0.04699999839067459,-1693589722_FL,Phosphorus,Outflow,41
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,41
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,41
0.09099999815225601,-1693589722_FL,Phosphorus,Outflow,41
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,41
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,41
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,41
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,41
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,42
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,42
0.02400000020861626,-1693589722_FL,Phosphorus,Outflow,42
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,42
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,42
0.09200000017881393,-1693589722_FL,Phosphorus,Outflow,42
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,42
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,42
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,42
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,42
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,42
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,42
0.04500000178813934,-1693589722_FL,Phosphorus,Outflow,42
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,42
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,42
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,43
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,43
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,43
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,43
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,43
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,43
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,43
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,43
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,43
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,43
0.06499999761581421,-1693589722_FL,Phosphorus,Outflow,43
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,43
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,43
0.09000000357627869,-1693589722_FL,Phosphorus,Outflow,43
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,43
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,44
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,44
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,44
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,44
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,44
0.09099999815225601,-1693589722_FL,Phosphorus,Outflow,44
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,44
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,44
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,44
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,44
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,44
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,44
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,44
0.05499999970197678,-1693589722_FL,Phosphorus,Outflow,44
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,44
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,45
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,45
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,45
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,45
0.06499999761581421,-1693589722_FL,Phosphorus,Outflow,45
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,45
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,45
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,45
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,45
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,45
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,45
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,45
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,45
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,45
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,45
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,46
0.007000000216066837,-1693589722_FL,Phosphorus,Outflow,46
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,46
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,46
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,46
0.125,-1693589722_FL,Phosphorus,Outflow,46
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,46
0.101000003516674,-1693589722_FL,Phosphorus,Outflow,46
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,46
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,46
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,46
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,46
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,46
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,46
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,46
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,47
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,47
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,47
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,47
0.04600000008940697,-1693589722_FL,Phosphorus,Outflow,47
0.04500000178813934,-1693589722_FL,Phosphorus,Outflow,47
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,47
0.06800000369548798,-1693589722_FL,Phosphorus,Outflow,47
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,47
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,47
0.03599999845027924,-1693589722_FL,Phosphorus,Outflow,47
0.05799999833106995,-1693589722_FL,Phosphorus,Outflow,47
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,47
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,47
0.125,-1693589722_FL,Phosphorus,Outflow,47
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,48
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,48
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,48
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,48
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,48
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,48
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,48
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,48
0.06199999898672104,-1693589722_FL,Phosphorus,Outflow,48
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,48
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,48
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,48
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,48
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,48
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,48
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,49
0.05299999937415123,-1693589722_FL,Phosphorus,Outflow,49
0.01799999922513962,-1693589722_FL,Phosphorus,Outflow,49
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,49
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,49
0.03400000184774399,-1693589722_FL,Phosphorus,Outflow,49
0.01099999994039536,-1693589722_FL,Phosphorus,Outflow,49
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,49
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,49
0.04399999976158142,-1693589722_FL,Phosphorus,Outflow,49
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,49
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,49
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,49
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,49
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,49
0.02400000020861626,-1693589722_FL,Phosphorus,Outflow,50
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,50
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,50
0.01200000010430813,-1693589722_FL,Phosphorus,Outflow,50
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,50
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,50
0.004999999888241291,-1693589722_FL,Phosphorus,Outflow,50
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,50
0.09099999815225601,-1693589722_FL,Phosphorus,Outflow,50
0.03700000047683716,-1693589722_FL,Phosphorus,Outflow,50
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,50
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,50
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,50
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,50
0.01999999955296516,-1693589722_FL,Phosphorus,Outflow,50
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,51
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,51
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,51
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,51
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,51
0.02700000070035458,-1693589722_FL,Phosphorus,Outflow,51
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,51
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,51
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,51
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,51
0.05000000074505806,-1693589722_FL,Phosphorus,Outflow,51
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,51
0.02999999932944775,-1693589722_FL,Phosphorus,Outflow,51
0.07999999821186066,-1693589722_FL,Phosphorus,Outflow,51
0.0860000029206276,-1693589722_FL,Phosphorus,Outflow,51
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,52
0.0260000005364418,-1693589722_FL,Phosphorus,Outflow,52
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,52
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,52
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,52
0.1474799960851669,-1693589722_FL,Phosphorus,Outflow,52
0.05400000140070915,-1693589722_FL,Phosphorus,Outflow,52
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,52
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,52
0.01899999938905239,-1693589722_FL,Phosphorus,Outflow,52
0.1190000027418137,-1693589722_FL,Phosphorus,Outflow,52
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,52
0.09700000286102295,-1693589722_FL,Phosphorus,Outflow,52
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,52
0.06599999964237213,-1693589722_FL,Phosphorus,Outflow,52
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,53
0.01700000092387199,-1693589722_FL,Phosphorus,Outflow,53
0.05999999865889549,-1693589722_FL,Phosphorus,Outflow,53
0.03999999910593033,-1693589722_FL,Phosphorus,Outflow,53
0.0430000014603138,-1693589722_FL,Phosphorus,Outflow,53
0.06100000068545341,-1693589722_FL,Phosphorus,Outflow,53
0.0390000008046627,-1693589722_FL,Phosphorus,Outflow,53
0.02800000086426735,-1693589722_FL,Phosphorus,Outflow,53
0.1749999970197678,-1693589722_FL,Phosphorus,Outflow,53
0.04800000041723251,-1693589722_FL,Phosphorus,Outflow,53
0.06300000101327896,-1693589722_FL,Phosphorus,Outflow,53
0.001000000047497451,-1693589722_FL,Phosphorus,Outflow,53
0.03200000151991844,-1693589722_FL,Phosphorus,Outflow,53
0.006000000052154064,-1693589722_FL,Phosphorus,Outflow,53
0.03500000014901161,-1693589722_FL,Phosphorus,Outflow,53
